"DT_GERACAO","HH_GERACAO","ANO_ELEICAO","CD_TIPO_ELEICAO","NM_TIPO_ELEICAO","NR_TURNO","CD_ELEICAO","DS_ELEICAO","DT_ELEICAO","SG_UF","SG_UE","NM_UE","CD_CARGO","DS_CARGO","TP_AGREMIACAO","NR_PARTIDO","SG_PARTIDO","NM_PARTIDO","SQ_COLIGACAO","NM_COLIGACAO","DS_COMPOSICAO_COLIGACAO","CD_SITUACAO_LEGENDA","DS_SITUACAO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",13,"VEREADOR","PARTIDO ISOLADO",25,"DEM","DEMOCRATAS",240000124256,"#NULO#","DEM","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",12,"VICE-PREFEITO","PARTIDO ISOLADO",30,"NOVO","PARTIDO NOVO",240000059499,"#NULO#","NOVO","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",13,"VEREADOR","PARTIDO ISOLADO",55,"PSD","PARTIDO SOCIAL DEMOCRÁTICO",240000077368,"#NULO#","PSD","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",13,"VEREADOR","PARTIDO ISOLADO",50,"PSOL","PARTIDO SOCIALISMO E LIBERDADE",240000117049,"#NULO#","PSOL","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",12,"VICE-PREFEITO","PARTIDO ISOLADO",70,"AVANTE","AVANTE",240000110646,"#NULO#","AVANTE","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",11,"PREFEITO","PARTIDO ISOLADO",17,"PSL","PARTIDO SOCIAL LIBERAL",240000116783,"#NULO#","PSL","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",13,"VEREADOR","PARTIDO ISOLADO",65,"PC do B","PARTIDO COMUNISTA DO BRASIL",240000139046,"#NULO#","PC do B","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",11,"PREFEITO","PARTIDO ISOLADO",36,"PTC","PARTIDO TRABALHISTA CRISTÃO",240000144725,"#NULO#","PTC","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",12,"VICE-PREFEITO","PARTIDO ISOLADO",36,"PTC","PARTIDO TRABALHISTA CRISTÃO",240000144725,"#NULO#","PTC","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",13,"VEREADOR","PARTIDO ISOLADO",14,"PTB","PARTIDO TRABALHISTA BRASILEIRO",240000077313,"#NULO#","PTB","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",12,"VICE-PREFEITO","COLIGACAO",25,"DEM","DEMOCRATAS",240000116855,"ALIANÇA POR JOINVILLE","PODE / DEM","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",13,"VEREADOR","PARTIDO ISOLADO",51,"PATRIOTA","PATRIOTA",240000124488,"#NULO#","PATRIOTA","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",11,"PREFEITO","COLIGACAO",25,"DEM","DEMOCRATAS",240000116855,"ALIANÇA POR JOINVILLE","PODE / DEM","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",11,"PREFEITO","PARTIDO ISOLADO",16,"PSTU","PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO",240000060045,"#NULO#","PSTU","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",13,"VEREADOR","PARTIDO ISOLADO",20,"PSC","PARTIDO SOCIAL CRISTÃO",240000152957,"#NULO#","PSC","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",11,"PREFEITO","PARTIDO ISOLADO",70,"AVANTE","AVANTE",240000110646,"#NULO#","AVANTE","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",11,"PREFEITO","COLIGACAO",35,"PMB","PARTIDO DA MULHER BRASILEIRA",240000117064,"Joinville Acima De Todos","PMB / PATRIOTA","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",13,"VEREADOR","PARTIDO ISOLADO",45,"PSDB","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA",240000077401,"#NULO#","PSDB","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",13,"VEREADOR","PARTIDO ISOLADO",10,"REPUBLICANOS","REPUBLICANOS",240000090682,"#NULO#","REPUBLICANOS","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",12,"VICE-PREFEITO","PARTIDO ISOLADO",50,"PSOL","PARTIDO SOCIALISMO E LIBERDADE",240000116913,"#NULO#","PSOL","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",12,"VICE-PREFEITO","PARTIDO ISOLADO",17,"PSL","PARTIDO SOCIAL LIBERAL",240000116783,"#NULO#","PSL","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",11,"PREFEITO","PARTIDO ISOLADO",12,"PDT","PARTIDO DEMOCRÁTICO TRABALHISTA",240000116779,"#NULO#","PDT","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",13,"VEREADOR","PARTIDO ISOLADO",13,"PT","PARTIDO DOS TRABALHADORES",240000077511,"#NULO#","PT","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",11,"PREFEITO","COLIGACAO",23,"CIDADANIA","CIDADANIA",240000070642,"JOINVILLE É O QUE NOS MOVE","CIDADANIA / SOLIDARIEDADE","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",11,"PREFEITO","COLIGACAO",15,"MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO",240000077589,"VAMOS PRA FRENTE, VAMOS COM FÉ","PRTB / PROS / PTB / MDB / PSC / PSB","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",12,"VICE-PREFEITO","COLIGACAO",55,"PSD","PARTIDO SOCIAL DEMOCRÁTICO",240000138854,"JOINVILLE É AGORA","PSD / PL / PSDB / PP","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",11,"PREFEITO","COLIGACAO",40,"PSB","PARTIDO SOCIALISTA BRASILEIRO",240000077589,"VAMOS PRA FRENTE, VAMOS COM FÉ","PRTB / PROS / PTB / MDB / PSC / PSB","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",11,"PREFEITO","COLIGACAO",65,"PC do B","PARTIDO COMUNISTA DO BRASIL",240000070493,"JOINVILLE QUE CUIDA DE SUA GENTE","PT / PC do B","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",11,"PREFEITO","PARTIDO ISOLADO",27,"DC","DEMOCRACIA CRISTÃ",240000060040,"#NULO#","DC","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",11,"PREFEITO","COLIGACAO",20,"PSC","PARTIDO SOCIAL CRISTÃO",240000077589,"VAMOS PRA FRENTE, VAMOS COM FÉ","PRTB / PROS / PTB / MDB / PSC / PSB","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",12,"VICE-PREFEITO","COLIGACAO",28,"PRTB","PARTIDO RENOVADOR TRABALHISTA BRASILEIRO",240000077589,"VAMOS PRA FRENTE, VAMOS COM FÉ","PRTB / PROS / PTB / MDB / PSC / PSB","D","DEFERIDO""03/11/2020"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",11,"PREFEITO","COLIGACAO",55,"PSD","PARTIDO SOCIAL DEMOCRÁTICO",240000138854,"JOINVILLE É AGORA","PSD / PL / PSDB / PP","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",12,"VICE-PREFEITO","COLIGACAO",65,"PC do B","PARTIDO COMUNISTA DO BRASIL",240000070493,"JOINVILLE QUE CUIDA DE SUA GENTE","PT / PC do B","D","DEFERIDO"
"03/11/2020","21:07:46",2020,2,"ELEIÇÃO ORDINÁRIA",1,426,"Eleições Municipais 2020","15/11/2020","SC",81795,"JOINVILLE",12,"VICE-PREFEITO","PARTIDO ISOLADO",12,"PDT","PARTIDO DEMOCRÁTICO TRABALHISTA",240000116779,"#NULO#","PDT","D","DEFERIDO"
